2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 8}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 1}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 1}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2025-04-15,No hay noticias disponibles para esta fecha.
2025-04-16,No hay noticias disponibles para esta fecha.
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-17,No hay noticias disponibles para esta fecha.
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-17,No hay noticias disponibles para esta fecha.
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-17,No hay noticias disponibles para esta fecha.
2022-05-18,No hay noticias disponibles para esta fecha.
2022-05-18,No hay noticias disponibles para esta fecha.
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-17,No hay noticias disponibles para esta fecha.
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2}, {""derecho"": ""salud"", ""cantidad"": 0}, {""derecho"": ""vivienda"", ""cantidad"": 0}]"
2022-05-17,No hay noticias disponibles para esta fecha.
2022-05-20,No hay noticias disponibles para esta fecha.
2022-05-20,No hay noticias disponibles para esta fecha.
2022-05-16,"[{""derecho"": ""vida"", ""cantidad"": 2, ""lugar"": ""No identificado""}, {""derecho"": ""salud"", ""cantidad"": 0, ""lugar"": ""No identificado""}, {""derecho"": ""vivienda"", ""cantidad"": 0, ""lugar"": ""No identificado""}]"
